id,popularity,acousticness,danceability,energy,liveness,speechiness,valence
2Gy3XMLbBxACZ4tXdFRGr7,60,0.413,0.721,0.819,0.196,0.0269,0.867
2QVzUws1l5mzZ4v46tGHrC,66,0.0127,0.561,0.756,0.233,0.0287,0.702
1zWZvrk13cL8Sl3VLeG57F,68,0.0318,0.647,0.857,0.0212,0.0397,0.771
05ZACkzW8YbRq3eFgIfSNB,72,0.1,0.692,0.809,0.185,0.0255,0.927
46ZfPS5VpSQVU5gb82hg3K,67,0.00172,0.462,0.977,0.352,0.045,0.746
2Hx66vdWgA4DE0yqqktQiT,5,0.0886,0.663,0.53,0.154,0.0301,0.269
6nUKELHbV6Tdj5OuQbksKH,39,0.129,0.539,0.828,0.12,0.0378,0.378
6bZq9yf23N1xXVmNeyhDsb,6,0.0881,0.69,0.781,0.176,0.0307,0.853
2TR7A4ulH9R1PNwMyd8o8U,68,0.016,0.555,0.931,0.405,0.0367,0.723
68A4qiCqD9y39N3WNEsJVD,12,0.0458,0.677,0.847,0.0763,0.0396,0.806
0uRlP6bHbSgBGklmaCMqG7,60,0.00647,0.414,0.843,0.194,0.0531,0.572
1NyLnTzSyZR5qgLdoyeu1l,2,0.00327,0.545,0.812,0.286,0.049,0.761
3BuPop8SzLG2Q88TJcFAjp,56,0.0477,0.59,0.94,0.379,0.0409,0.732
0H9Q7Vzu8nYRDBZYKbtU8d,60,0.0051,0.478,0.929,0.348,0.032,0.749
6Ymvlzom4TQeoKqAWsZRD8,65,0.0697,0.554,0.794,0.63,0.035,0.79
2BeispT0rpKZX9RhI1H8vL,8,0.0718,0.615,0.65,0.101,0.0347,0.548
19PJf5HzeiVW0mdk82Swmn,10,0.361,0.526,0.661,0.087,0.0333,0.556
3qtZwBkPpK2Q8fcYRHm4AX,57,0.405,0.541,0.505,0.131,0.0254,0.367
3wx2kQWPn9p5UppQbNhPAk,66,0.0951,0.514,0.951,0.349,0.0603,0.838
3M31S6f0z8S3nkFh3eS06W,63,0.0325,0.639,0.846,0.116,0.0439,0.475
4O1CExxinEpKZi3861NlTK,62,0.0733,0.549,0.866,0.25,0.0476,0.767
57EH1IvuQYjfvUQOGTypd4,9,0.0319,0.573,0.85,0.081,0.0361,0.347
63QCk4cHK1jEdCJsGqOx0D,5,0.0142,0.557,0.737,0.314,0.0476,0.817
3xdjjKMcMOFgo1eQrfbogM,73,0.456,0.529,0.663,0.142,0.0306,0.592
7aftSOGSOpSoIlVAQVBb71,69,0.0749,0.579,0.776,0.239,0.173,0.434
39FwE8edwuyiaa4PrGBkP7,65,0.251,0.611,0.688,0.248,0.0529,0.649
3y1t2sEahs8idFz2tiYNPO,61,0.254,0.523,0.834,0.393,0.0281,0.445
1TwLKNsCnhi1HxbIi4bAW0,71,0.113,0.747,0.861,0.026,0.0514,0.859
0gY2iq0xJPRoIB1PScKSw4,62,0.00167,0.481,0.849,0.121,0.0385,0.723
4iLPK8QnOvqm0Azbsk2GDn,64,0.0484,0.573,0.824,0.335,0.0373,0.668
54YvR3jlAJ3nnSCK1dWcwm,7,0.201,0.53,0.717,0.0544,0.0421,0.906
7CL6oaDC9d0QXFMQRkNBmy,15,0.0371,0.532,0.801,0.0633,0.0393,0.799
1S1u0ausWGi2msWnuQgTCY,10,0.111,0.54,0.836,0.0874,0.0627,0.55
7B6m8tHAYZsOKOKMU5SR2n,66,0.183,0.581,0.856,0.0871,0.0783,0.918
7px4t7HGiuMUvFkEOpZEwp,66,0.125,0.497,0.805,0.167,0.0332,0.696
5l5cQAKkeGIkPBH3ieHYju,3,0.000544,0.569,0.659,0.0799,0.0307,0.429
2wqXQjOmQ9KoBm9Ssgt4Fo,65,0.0284,0.514,0.659,0.266,0.0309,0.463
6EJMBO60yYTS5YOXTqPhka,39,0.152,0.684,0.541,0.11,0.0329,0.337
6rqxivjFHp8K0yMiefG56g,65,0.0414,0.555,0.89,0.147,0.0309,0.513
1XazlqB4YAtvouCmJPWXlM,50,0.114,0.518,0.686,0.114,0.0313,0.334
0xwPzLmBAYro8BUz7MrtAo,70,0.158,0.614,0.472,0.111,0.0297,0.168
2rxQMGVafnNaRaXlRMWPde,81,0.676,0.552,0.402,0.0928,0.0262,0.382
7Il2yWQmsqKgSkLQvHTPUI,79,0.0292,0.474,0.594,0.133,0.0289,0.503
